Australian Bureau of Statistics

"2021 Census - cultural diversity"
"AGEP Age, INGP Indigenous Status and SEXP Sex"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"AGEP Age","INGP Indigenous Status","SEXP Sex",
"CYP","Non-Indigenous","Male",2679251,
,,"Female",2530763,
,"Indigenous","Male",161826,
,,"Female",153148,
"Total","Non-Indigenous","Male",2679251,
,,"Female",2530763,
,"Indigenous","Male",161826,
,,"Female",153148,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
