age_years,sex,year,cultural_background,adjusted_population
0,Male,2005,ATSI,367.2444281
0,Female,2005,ATSI,347.8073727
1,Male,2005,ATSI,386.0869683
1,Female,2005,ATSI,367.8674629
2,Male,2005,ATSI,365.9299904
2,Female,2005,ATSI,354.5167497
3,Male,2005,ATSI,396.4282739
3,Female,2005,ATSI,388.4292143
4,Male,2005,ATSI,398.0605887
4,Female,2005,ATSI,366.6998133
5,Male,2005,ATSI,358.1792638
5,Female,2005,ATSI,394.4702223
6,Male,2005,ATSI,433.5692722
6,Female,2005,ATSI,398.9082815
7,Male,2005,ATSI,422.9072008
7,Female,2005,ATSI,403.4008189
8,Male,2005,ATSI,413.8685019
8,Female,2005,ATSI,380.8131791
9,Male,2005,ATSI,376.8770243
9,Female,2005,ATSI,378.3540638
10,Male,2005,ATSI,386.6746128
10,Female,2005,ATSI,387.1964484
11,Male,2005,ATSI,412.1487953
11,Female,2005,ATSI,399.4203225
12,Male,2005,ATSI,380.8854354
12,Female,2005,ATSI,378.1011423
13,Male,2005,ATSI,392.9476567
13,Female,2005,ATSI,405.1725397
14,Male,2005,ATSI,384.9772527
14,Female,2005,ATSI,382.6796251
15,Male,2005,ATSI,421.2423701
15,Female,2005,ATSI,381.7463743
16,Male,2005,ATSI,353.1138708
16,Female,2005,ATSI,366.4815539
17,Male,2005,ATSI,334.9990468
17,Female,2005,ATSI,344.8612995
0,Male,2006,ATSI,367.2444281
0,Female,2006,ATSI,347.8073727
1,Male,2006,ATSI,386.0869683
1,Female,2006,ATSI,367.8674629
2,Male,2006,ATSI,365.9299904
2,Female,2006,ATSI,354.5167497
3,Male,2006,ATSI,396.4282739
3,Female,2006,ATSI,388.4292143
4,Male,2006,ATSI,398.0605887
4,Female,2006,ATSI,366.6998133
5,Male,2006,ATSI,358.1792638
5,Female,2006,ATSI,394.4702223
6,Male,2006,ATSI,433.5692722
6,Female,2006,ATSI,398.9082815
7,Male,2006,ATSI,422.9072008
7,Female,2006,ATSI,403.4008189
8,Male,2006,ATSI,413.8685019
8,Female,2006,ATSI,380.8131791
9,Male,2006,ATSI,376.8770243
9,Female,2006,ATSI,378.3540638
10,Male,2006,ATSI,386.6746128
10,Female,2006,ATSI,387.1964484
11,Male,2006,ATSI,412.1487953
11,Female,2006,ATSI,399.4203225
12,Male,2006,ATSI,380.8854354
12,Female,2006,ATSI,378.1011423
13,Male,2006,ATSI,392.9476567
13,Female,2006,ATSI,405.1725397
14,Male,2006,ATSI,384.9772527
14,Female,2006,ATSI,382.6796251
15,Male,2006,ATSI,421.2423701
15,Female,2006,ATSI,381.7463743
16,Male,2006,ATSI,353.1138708
16,Female,2006,ATSI,366.4815539
17,Male,2006,ATSI,334.9990468
17,Female,2006,ATSI,344.8612995
0,Male,2007,ATSI,367.2444281
0,Female,2007,ATSI,347.8073727
1,Male,2007,ATSI,386.0869683
1,Female,2007,ATSI,367.8674629
2,Male,2007,ATSI,365.9299904
2,Female,2007,ATSI,354.5167497
3,Male,2007,ATSI,396.4282739
3,Female,2007,ATSI,388.4292143
4,Male,2007,ATSI,398.0605887
4,Female,2007,ATSI,366.6998133
5,Male,2007,ATSI,358.1792638
5,Female,2007,ATSI,394.4702223
6,Male,2007,ATSI,433.5692722
6,Female,2007,ATSI,398.9082815
7,Male,2007,ATSI,422.9072008
7,Female,2007,ATSI,403.4008189
8,Male,2007,ATSI,413.8685019
8,Female,2007,ATSI,380.8131791
9,Male,2007,ATSI,376.8770243
9,Female,2007,ATSI,378.3540638
10,Male,2007,ATSI,386.6746128
10,Female,2007,ATSI,387.1964484
11,Male,2007,ATSI,412.1487953
11,Female,2007,ATSI,399.4203225
12,Male,2007,ATSI,380.8854354
12,Female,2007,ATSI,378.1011423
13,Male,2007,ATSI,392.9476567
13,Female,2007,ATSI,405.1725397
14,Male,2007,ATSI,384.9772527
14,Female,2007,ATSI,382.6796251
15,Male,2007,ATSI,421.2423701
15,Female,2007,ATSI,381.7463743
16,Male,2007,ATSI,353.1138708
16,Female,2007,ATSI,366.4815539
17,Male,2007,ATSI,334.9990468
17,Female,2007,ATSI,344.8612995
0,Male,2008,ATSI,367.2444281
0,Female,2008,ATSI,347.8073727
1,Male,2008,ATSI,386.0869683
1,Female,2008,ATSI,367.8674629
2,Male,2008,ATSI,365.9299904
2,Female,2008,ATSI,354.5167497
3,Male,2008,ATSI,396.4282739
3,Female,2008,ATSI,388.4292143
4,Male,2008,ATSI,398.0605887
4,Female,2008,ATSI,366.6998133
5,Male,2008,ATSI,358.1792638
5,Female,2008,ATSI,394.4702223
6,Male,2008,ATSI,433.5692722
6,Female,2008,ATSI,398.9082815
7,Male,2008,ATSI,422.9072008
7,Female,2008,ATSI,403.4008189
8,Male,2008,ATSI,413.8685019
8,Female,2008,ATSI,380.8131791
9,Male,2008,ATSI,376.8770243
9,Female,2008,ATSI,378.3540638
10,Male,2008,ATSI,386.6746128
10,Female,2008,ATSI,387.1964484
11,Male,2008,ATSI,412.1487953
11,Female,2008,ATSI,399.4203225
12,Male,2008,ATSI,380.8854354
12,Female,2008,ATSI,378.1011423
13,Male,2008,ATSI,392.9476567
13,Female,2008,ATSI,405.1725397
14,Male,2008,ATSI,384.9772527
14,Female,2008,ATSI,382.6796251
15,Male,2008,ATSI,421.2423701
15,Female,2008,ATSI,381.7463743
16,Male,2008,ATSI,353.1138708
16,Female,2008,ATSI,366.4815539
17,Male,2008,ATSI,334.9990468
17,Female,2008,ATSI,344.8612995
0,Male,2009,ATSI,406.6492135
0,Female,2009,ATSI,423.8848305
1,Male,2009,ATSI,451.8012761
1,Female,2009,ATSI,459.4074337
2,Male,2009,ATSI,438.1331132
2,Female,2009,ATSI,427.4001975
3,Male,2009,ATSI,500.1762703
3,Female,2009,ATSI,455.9816237
4,Male,2009,ATSI,469.2086703
4,Female,2009,ATSI,402.0354424
5,Male,2009,ATSI,484.8667658
5,Female,2009,ATSI,437.5783458
6,Male,2009,ATSI,446.2558273
6,Female,2009,ATSI,413.7477349
7,Male,2009,ATSI,413.5581149
7,Female,2009,ATSI,431.3608542
8,Male,2009,ATSI,438.2789655
8,Female,2009,ATSI,397.7911223
9,Male,2009,ATSI,431.5138226
9,Female,2009,ATSI,388.0591884
10,Male,2009,ATSI,426.4548603
10,Female,2009,ATSI,418.744321
11,Male,2009,ATSI,450.3526857
11,Female,2009,ATSI,454.1405707
12,Male,2009,ATSI,434.3847502
12,Female,2009,ATSI,427.9883377
13,Male,2009,ATSI,425.4216373
13,Female,2009,ATSI,430.70729
14,Male,2009,ATSI,446.6688775
14,Female,2009,ATSI,431.0844366
15,Male,2009,ATSI,402.8399145
15,Female,2009,ATSI,402.4227656
16,Male,2009,ATSI,427.2276472
16,Female,2009,ATSI,417.8124505
17,Male,2009,ATSI,440.298406
17,Female,2009,ATSI,366.8953846
0,Male,2010,ATSI,406.6492135
0,Female,2010,ATSI,423.8848305
1,Male,2010,ATSI,451.8012761
1,Female,2010,ATSI,459.4074337
2,Male,2010,ATSI,438.1331132
2,Female,2010,ATSI,427.4001975
3,Male,2010,ATSI,500.1762703
3,Female,2010,ATSI,455.9816237
4,Male,2010,ATSI,469.2086703
4,Female,2010,ATSI,402.0354424
5,Male,2010,ATSI,484.8667658
5,Female,2010,ATSI,437.5783458
6,Male,2010,ATSI,446.2558273
6,Female,2010,ATSI,413.7477349
7,Male,2010,ATSI,413.5581149
7,Female,2010,ATSI,431.3608542
8,Male,2010,ATSI,438.2789655
8,Female,2010,ATSI,397.7911223
9,Male,2010,ATSI,431.5138226
9,Female,2010,ATSI,388.0591884
10,Male,2010,ATSI,426.4548603
10,Female,2010,ATSI,418.744321
11,Male,2010,ATSI,450.3526857
11,Female,2010,ATSI,454.1405707
12,Male,2010,ATSI,434.3847502
12,Female,2010,ATSI,427.9883377
13,Male,2010,ATSI,425.4216373
13,Female,2010,ATSI,430.70729
14,Male,2010,ATSI,446.6688775
14,Female,2010,ATSI,431.0844366
15,Male,2010,ATSI,402.8399145
15,Female,2010,ATSI,402.4227656
16,Male,2010,ATSI,427.2276472
16,Female,2010,ATSI,417.8124505
17,Male,2010,ATSI,440.298406
17,Female,2010,ATSI,366.8953846
0,Male,2011,ATSI,406.6492135
