age_years,sex,postcode,year,cultural_background,population
0,Male,"5000, SA",,Non-Indigenous,38
,,,,Indigenous,0
,,"5006, SA",,Non-Indigenous,21
,,,,Indigenous,0
,,"5007, SA",,Non-Indigenous,29
,,,,Indigenous,0
,,"5008, SA",,Non-Indigenous,81
,,,,Indigenous,4
,,"5009, SA",,Non-Indigenous,26
,,,,Indigenous,0
,,"5010, SA",,Non-Indigenous,24
,,,,Indigenous,0
,,"5011, SA",,Non-Indigenous,93
,,,,Indigenous,3
,,"5012, SA",,Non-Indigenous,60
,,,,Indigenous,3
,,"5013, SA",,Non-Indigenous,57
,,,,Indigenous,0
,,"5014, SA",,Non-Indigenous,63
,,,,Indigenous,3
,,"5015, SA",,Non-Indigenous,27
,,,,Indigenous,0
,,"5016, SA",,Non-Indigenous,55
,,,,Indigenous,3
,,"5017, SA",,Non-Indigenous,31
,,,,Indigenous,3
,,"5018, SA",,Non-Indigenous,19
,,,,Indigenous,0
,,"5019, SA",,Non-Indigenous,37
,,,,Indigenous,0
,,"5020, SA",,Non-Indigenous,13
,,,,Indigenous,0
,,"5021, SA",,Non-Indigenous,21
,,,,Indigenous,0
,,"5022, SA",,Non-Indigenous,70
,,,,Indigenous,5
,,"5023, SA",,Non-Indigenous,112
,,,,Indigenous,3
,,"5024, SA",,Non-Indigenous,72
,,,,Indigenous,0
,,"5025, SA",,Non-Indigenous,48
,,,,Indigenous,0
,,"5031, SA",,Non-Indigenous,43
,,,,Indigenous,0
,,"5032, SA",,Non-Indigenous,70
,,,,Indigenous,0
,,"5033, SA",,Non-Indigenous,42
,,,,Indigenous,0
,,"5034, SA",,Non-Indigenous,40
,,,,Indigenous,0
,,"5035, SA",,Non-Indigenous,27
,,,,Indigenous,0
,,"5037, SA",,Non-Indigenous,72
,,,,Indigenous,0
,,"5038, SA",,Non-Indigenous,115
,,,,Indigenous,4
,,"5039, SA",,Non-Indigenous,55
,,,,Indigenous,0
,,"5040, SA",,Non-Indigenous,8
,,,,Indigenous,0
,,"5041, SA",,Non-Indigenous,54
,,,,Indigenous,4
,,"5042, SA",,Non-Indigenous,74
,,,,Indigenous,0
,,"5043, SA",,Non-Indigenous,101
,,,,Indigenous,5
,,"5044, SA",,Non-Indigenous,44
,,,,Indigenous,3
,,"5045, SA",,Non-Indigenous,81
,,,,Indigenous,0
,,"5046, SA",,Non-Indigenous,38
,,,,Indigenous,0
,,"5047, SA",,Non-Indigenous,53
,,,,Indigenous,0
,,"5048, SA",,Non-Indigenous,61
,,,,Indigenous,0
,,"5049, SA",,Non-Indigenous,52
,,,,Indigenous,0
,,"5050, SA",,Non-Indigenous,22
,,,,Indigenous,0
,,"5051, SA",,Non-Indigenous,66
,,,,Indigenous,0
,,"5052, SA",,Non-Indigenous,28
,,,,Indigenous,0
,,"5061, SA",,Non-Indigenous,33
,,,,Indigenous,0
,,"5062, SA",,Non-Indigenous,61
,,,,Indigenous,0
,,"5063, SA",,Non-Indigenous,51
,,,,Indigenous,0
,,"5064, SA",,Non-Indigenous,38
,,,,Indigenous,0
,,"5065, SA",,Non-Indigenous,45
,,,,Indigenous,0
