Year,Sex,Deaths,Estimated resident population,"Death rate per 100,000 resident population"
2005,Female,58,168134.100984,34.49627390312653
2005,Male,78,177738.643553,43.88466033090948
2006,Female,70,168134.100984,41.63343402101478
2006,Male,49,177738.643553,27.568568669417495
2007,Female,42,168134.100984,24.980060412608868
2007,Male,80,177738.643553,45.00990803170204
2008,Female,43,168134.100984,25.57482375576622
2008,Male,70,177738.643553,39.38366952773928
2009,Female,57,171975.03793,33.14434506663755
2009,Male,70,181026.988318,38.668267450284766
2010,Female,40,171975.03793,23.2591895204474
2010,Male,77,181026.988318,42.53509419531325
2011,Female,49,171975.03793,28.492507162548065
2011,Male,57,181026.988318,31.487017780946168
2012,Female,48,171975.03793,27.911027424536883
2012,Male,51,181026.988318,28.172594856636046
2013,Female,44,171975.03793,25.585108472492138
2013,Male,64,181026.988318,35.35384452597465
2014,Female,41,177958.412378,23.039090679743893
2014,Male,55,187663.64124599998,29.307754893183027
2015,Female,38,177958.412378,21.3533035568358
2015,Male,54,187663.64124599998,28.774886622397883
2016,Female,45,177958.412378,25.286806843621346
2016,Male,57,187663.64124599998,30.37349143475332
2017,Female,57,177958.412378,32.0299553352537
2017,Male,56,187663.64124599998,29.840623163968168
2018,Female,47,177958.412378,26.410664925560074
2018,Male,60,187663.64124599998,31.972096247108755
2019,Female,36,180930.8723603202,19.897101876735952
2019,Male,45,191191.12763967982,23.536657038190246
2020,Female,38,180930.8723603202,21.002496425443503
2020,Male,35,191191.12763967982,18.306288807481305
2021,Female,41,180930.8723603202,22.660588248504833
2021,Male,67,191191.12763967982,35.04346714574992
2022,Female,51,180930.8723603202,28.187560992042595
2022,Male,56,191191.12763967982,29.290062091970086
2005,Total,136,345872.74453699996,39.320820199942446
2006,Total,119,345872.74453699996,34.405717674949635
2007,Total,122,345872.74453699996,35.273088708771894
2008,Total,113,345872.74453699996,32.67097560730512
2009,Total,127,353002.026248,35.97713059889824
2010,Total,117,353002.026248,33.144285669851136
2011,Total,106,353002.026248,30.028156247899318
2012,Total,99,353002.026248,28.045164797566343
2013,Total,108,353002.026248,30.59472523370874
2014,Total,96,365622.053624,26.256621844459335
2015,Total,92,365622.053624,25.16259593427353
2016,Total,102,365622.053624,27.89766070973804
2017,Total,113,365622.053624,30.906231962749008
2018,Total,107,365622.053624,29.2651930974703
2019,Total,81,372122,21.767054890600395
2020,Total,73,372122,19.6172223088127
2021,Total,108,372122,29.02273985413386
2022,Total,107,372122,28.754010781410397
