Year,Cultural Background,Number of deaths,Estimated resident population,"Death rate per 100,000 resident population"
2005,Aboriginal,17,13813.067037,123.0718706747995
2005,Other,119,332059.6775,35.836931751522286
2006,Aboriginal,12,13813.067037,86.87426165279965
2006,Other,107,332059.6775,32.2231235076713
2007,Aboriginal,14,13813.067037,101.35330526159959
2007,Other,108,332059.6775,32.52427419465888
2008,Aboriginal,11,13813.067037,79.63473984839968
2008,Other,102,332059.6775,30.71737007273339
2009,Aboriginal,12,15521.133148,77.31394277450856
2009,Other,115,337480.8931,34.07600322010645
2010,Aboriginal,9,15521.133148,57.985457080881424
2010,Other,108,337480.8931,32.00181171975214
2011,Aboriginal,13,15521.133148,83.75677133905094
2011,Other,93,337480.8931,27.55711564756435
2012,Aboriginal,14,15521.133148,90.19959990359332
2012,Other,85,337480.8931,25.186611075730855
2013,Aboriginal,19,15521.133148,122.41374272630523
2013,Other,89,337480.8931,26.3718633616476
2014,Aboriginal,15,17274.360524,86.83389454075515
2014,Other,81,348347.69310000003,23.252629945434247
2015,Aboriginal,13,17274.360524,75.25604193532114
2015,Other,79,348347.69310000003,22.67849093443587
2016,Aboriginal,8,17274.360524,46.311410421736085
2016,Other,94,348347.69310000003,26.984533516923694
2017,Aboriginal,17,17274.360524,98.41174714618917
2017,Other,96,348347.69310000003,27.55867252792207
2018,Aboriginal,12,17274.360524,69.46711563260413
2018,Other,95,348347.69310000003,27.271603022422884
2019,Aboriginal,8,17274.360524,46.311410421736085
2019,Other,73,348347.69310000003,20.956073901440742
2020,Aboriginal,12,17274.360524,69.46711563260413
2020,Other,61,348347.69310000003,17.511239835450482
2021,Aboriginal,11,17274.360524,63.67818932988712
2021,Other,93,348347.69310000003,26.697464011424508
2005,Total,136,345872.74453699996,39.320820199942446
2006,Total,119,345872.74453699996,34.405717674949635
2007,Total,122,345872.74453699996,35.273088708771894
2008,Total,113,345872.74453699996,32.67097560730512
2009,Total,127,353002.026248,35.97713059889824
2010,Total,117,353002.026248,33.144285669851136
2011,Total,106,353002.026248,30.028156247899318
2012,Total,99,353002.026248,28.045164797566343
2013,Total,108,353002.026248,30.59472523370874
2014,Total,96,365622.053624,26.256621844459335
2015,Total,92,365622.053624,25.16259593427353
2016,Total,102,365622.053624,27.89766070973804
2017,Total,113,365622.053624,30.906231962749008
2018,Total,107,365622.053624,29.2651930974703
2019,Total,81,365622.053624,22.154024681262563
2020,Total,73,365622.053624,19.96597286089095
2021,Total,104,365622.053624,28.444673664830944
